"month","monthlyrevenue"
"2010-01-01 00:00:00","46192.49000000005"
"2010-02-01 00:00:00","47197.56999999986"
"2010-03-01 00:00:00","23876.630000000096"
"2010-05-01 00:00:00","31361.280000000163"
"2010-06-01 00:00:00","31009.330000000155"
"2010-07-01 00:00:00","53730.9600000001"
"2010-08-01 00:00:00","39094.200000000084"
"2010-09-01 00:00:00","38193.91000000002"
"2010-10-01 00:00:00","33488.38000000004"
"2010-12-01 00:00:00","17102.350000000046"
"2011-01-01 00:00:00","239564.79999999897"
"2011-02-01 00:00:00","208854.5800000004"
"2011-03-01 00:00:00","260988.65999999992"
"2011-04-01 00:00:00","328429.9900000067"
"2011-05-01 00:00:00","321271.4300000017"
"2011-06-01 00:00:00","304643.78000000044"
"2011-07-01 00:00:00","322309.2899999998"
"2011-08-01 00:00:00","256744.29999999935"
"2011-09-01 00:00:00","421112.2299999998"
"2011-10-01 00:00:00","290996.86000000144"
"2011-11-01 00:00:00","344620.67000000575"
"2011-12-01 00:00:00","204679.38999999865"
