"month","revenue","previousmonthrevenue","growthpercent"
"2010-01-01 00:00:00","46192.49000000005",NULL,NULL
"2010-02-01 00:00:00","47197.56999999986","46192.49000000005","2.175851529111792"
"2010-03-01 00:00:00","23876.630000000096","47197.56999999986","-49.411315031684545"
"2010-05-01 00:00:00","31361.280000000163","23876.630000000096","31.347179229229738"
"2010-06-01 00:00:00","31009.330000000155","31361.280000000163","-1.1222437349496135"
"2010-07-01 00:00:00","53730.9600000001","31009.330000000155","73.27352767699216"
"2010-08-01 00:00:00","39094.200000000084","53730.9600000001","-27.24083098459434"
"2010-09-01 00:00:00","38193.91000000002","39094.200000000084","-2.302873572038984"
"2010-10-01 00:00:00","33488.38000000004","38193.91000000002","-12.320105482785017"
"2010-12-01 00:00:00","17102.350000000046","33488.38000000004","-48.930494696966456"
"2011-01-01 00:00:00","239564.79999999897","17102.350000000046","1300.7712390402392"
"2011-02-01 00:00:00","208854.5800000004","239564.79999999897","-12.819170429044128"
"2011-03-01 00:00:00","260988.65999999992","208854.5800000004","24.961904115293724"
"2011-04-01 00:00:00","328429.9900000067","260988.65999999992","25.8407127727338"
"2011-05-01 00:00:00","321271.4300000017","328429.9900000067","-2.1796304290009743"
"2011-06-01 00:00:00","304643.78000000044","321271.4300000017","-5.175576925717036"
"2011-07-01 00:00:00","322309.2899999998","304643.78000000044","5.7987430434323475"
"2011-08-01 00:00:00","256744.29999999935","322309.2899999998","-20.34225882846892"
"2011-09-01 00:00:00","421112.2299999998","256744.29999999935","64.0200892483303"
"2011-10-01 00:00:00","290996.86000000144","421112.2299999998","-30.898026875163048"
"2011-11-01 00:00:00","344620.67000000575","290996.86000000144","18.42762495787894"
"2011-12-01 00:00:00","204679.38999999865","344620.67000000575","-40.60733791737007"
